Company Name,Ticker 
AARON'S INC,AAN
ADVANCED MICRO DEVICES,AMD
ASM INTERNATIONAL NV,ASMIY
AIR T INC,AIRT
ALANCO TECHNOLOGIES INC,ALAN
HONEYWELL INTERNATIONAL INC,HON
SKYWORKS SOLUTIONS INC,SWKS
HESS CORP,HES
MANSFELDER METALS LTD,MNSF
AMERICAN LOCKER GROUP INC,ALGI
AMERICAN SOFTWARE  -CL A,AMSWA
AMETEK INC,AME
AMPAL-AMERICAN ISRAEL CORP,AMPLQ
AMPCO-PITTSBURGH CORP,AP
APOGEE ENTERPRISES INC,APOG
APPLIED MATERIALS INC,AMAT
ATCO LTD  -CL I,ACLLF
REX AMERICAN RESOURCES CORP,REX
A V HOMES INC,AVHI
BRT APARTMENTS CORP,BRT
BADGER METER INC,BMI
BALL CORP,BLL
BANK OF HAWAII CORP,BOH
BARNWELL INDUSTRIES,BRN
BEARD CO,BRCOQ
CHINA SHOUGUAN MINING CORP,CHSO
BECTON DICKINSON & CO,BDX
VERIZON COMMUNICATIONS INC,VZ
NON INVASIVE MONITOR,NIMU
COMJOYFUL INTERNATIONAL CO,KJFI
BP PLC,BP
BT GROUP PLC,BT
CALERES INC,CAL
BUTLER NATIONAL CORP,BUKS
CSP INC,CSPI
CVD EQUIPMENT CORP,CVV
CACI INTL INC  -CL A,CACI
CALAMP CORP,CAMP
CAMPBELL SOUP CO,CPB
MAPLE LEAF FOODS INC,MLFNF
CANADIAN NATIONAL RAILWAY CO,CNI
CANADIAN TIRE CORP  -CL A,CDNAF
CARPENTER TECHNOLOGY CORP,CRS
PAZOO INC,PZOO
CENTURYLINK INC,CTL
CHATHAM CORP-DE,CHTM
JPMORGAN CHASE & CO,JPM
COCA-COLA CO,KO
COHU INC,COHU
COLGATE-PALMOLIVE CO,CL
CCOM GROUP INC,CCOM
COMCAST CORP,CMCSA
COMMERCE BANCSHARES INC,CBSH
COMMODORE INTL LTD,3CBUIF
COMMUNICATIONS SYSTEMS INC,JCS
CA INC,CA
RAVE RESTAURANT GROUP INC,RAVE
CONSOLIDATED TOMOKA LAND CO,CTO
CORBY SPIRIT AND WINE LTD,CBYDF
CRAWFORD & CO,CRD.B
ONEMAIN HOLDINGS INC,OMF
VIEWTRAN GROUP INC,VIEWF
DISNEY (WALT) CO,DIS
DONNELLEY (R R) & SONS CO,RRD
ASCENA RETAIL GROUP INC,ASNA
DUCOMMUN INC,DCO
DUN & BRADSTREET CORP,DNB
EASTGROUP PROPERTIES,EGP
EATON CORP PLC,ETN
ELRON ELECTRONIC INDS LTD,ELRNF
ATMOS ENERGY CORP,ATO
ENZO BIOCHEM INC,ENZ
EQT CORP,EQT
EXXON MOBIL CORP,XOM
NEXTERA ENERGY INC,NEE
PRAETORIAN PROPERTY INC,PRRE
COVISTA COMMUNICATIONS INC,CVST
FEDERAL SIGNAL CORP,FSS
REGIONS FINANCIAL CORP,RF
TRUSTMARK CORP,TRMK
FONAR CORP,FONR
FOREST CITY REALTY TRUST INC,FCE.A
FRIEDMAN INDUSTRIES INC,FRD
GATX CORP,GATX
ARTHUR J GALLAGHER & CO,AJG
GAP INC,GPS
GENERAL ELECTRIC CO,GE
GENERAL MILLS INC,GIS
GLATFELTER,GLT
GOODHEART-WILLCOX CO INC,GWOX
GOODYEAR TIRE & RUBBER CO,GT
GORMAN-RUPP CO,GRC
GRAY TELEVISION INC,GTN.A
GREIF INC  -CL A,GEF
GULFMARK OFFSHORE INC,GLF
GYRODYNE LLC,GYRO
HKN INC,HKNI
HARSCO CORP,HSC
ALLIED MOTION TECHNOLOGIES,AMOT
HAVERTY FURNITURE,HVT
HAWAIIAN ELECTRIC INDS,HE
HEICO CORP,HEI
HERSHEY CO,HSY
HICKOK INC  -CL A,HICKA
HILL-ROM HOLDINGS INC,HRC
HOME DEPOT INC,HD
CENTERPOINT ENERGY INC,CNP
IEC ELECTRONICS CORP,IEC
